21:13:15.634 -> angle read:10.00 | controller signal:1412.10 | 
21:13:15.703 -> angle read:11.00 | controller signal:1416.50 | 
21:13:15.736 -> angle read:10.00 | controller signal:1416.50 | 
21:13:15.805 -> angle read:11.00 | controller signal:1416.50 | 
21:13:15.838 -> angle read:10.00 | controller signal:1434.00 | 
21:13:15.908 -> angle read:9.00 | controller signal:1434.00 | 
21:13:15.943 -> angle read:10.00 | controller signal:1434.00 | 
21:13:15.977 -> angle read:11.00 | controller signal:1426.40 | 
21:13:16.045 -> angle read:11.00 | controller signal:1426.40 | 
21:13:16.079 -> angle read:11.00 | controller signal:1430.80 | 
21:13:16.148 -> angle read:11.00 | controller signal:1430.80 | 
21:13:16.183 -> angle read:11.00 | controller signal:1435.20 | 
21:13:16.251 -> angle read:13.00 | controller signal:1435.20 | 
21:13:16.285 -> angle read:13.00 | controller signal:1413.40 | 
21:13:16.355 -> angle read:13.00 | controller signal:1413.40 | 
21:13:16.389 -> angle read:13.00 | controller signal:1413.40 | 
21:13:16.423 -> angle read:13.00 | controller signal:1415.60 | 
21:13:16.493 -> angle read:13.00 | controller signal:1415.60 | 
21:13:16.527 -> angle read:15.00 | controller signal:1391.60 | 
21:13:16.596 -> angle read:12.00 | controller signal:1391.60 | 
21:13:16.631 -> angle read:14.00 | controller signal:1391.60 | 
21:13:16.701 -> angle read:14.00 | controller signal:1404.70 | 
21:13:16.736 -> angle read:14.00 | controller signal:1404.70 | 
21:13:16.803 -> angle read:14.00 | controller signal:1405.80 | 
21:13:16.838 -> angle read:13.00 | controller signal:1405.80 | 
21:13:16.871 -> angle read:13.00 | controller signal:1420.00 | 
21:13:16.940 -> angle read:13.00 | controller signal:1420.00 | 
21:13:16.974 -> angle read:13.00 | controller signal:1420.00 | 
21:13:17.043 -> angle read:12.00 | controller signal:1435.30 | 
21:13:17.078 -> angle read:12.00 | controller signal:1435.30 | 
21:13:17.146 -> angle read:12.00 | controller signal:1438.60 | 
21:13:17.180 -> angle read:12.00 | controller signal:1438.60 | 
21:13:17.249 -> angle read:11.00 | controller signal:1438.60 | 
21:13:17.283 -> angle read:12.00 | controller signal:1441.90 | 
21:13:17.351 -> angle read:12.00 | controller signal:1441.90 | 
21:13:17.384 -> angle read:12.00 | controller signal:1445.20 | 
21:13:17.453 -> angle read:12.00 | controller signal:1445.20 | 
21:13:17.487 -> angle read:12.00 | controller signal:1448.50 | 
21:13:17.522 -> angle read:12.00 | controller signal:1448.50 | 
21:13:17.590 -> angle read:13.00 | controller signal:1448.50 | 
21:13:17.625 -> angle read:12.00 | controller signal:1451.80 | 
21:13:17.694 -> angle read:13.00 | controller signal:1451.80 | 
21:13:17.728 -> angle read:13.00 | controller signal:1442.00 | 
21:13:17.797 -> angle read:13.00 | controller signal:1442.00 | 
21:13:17.830 -> angle read:13.00 | controller signal:1442.00 | 
21:13:17.899 -> angle read:13.00 | controller signal:1444.20 | 
21:13:17.932 -> angle read:13.00 | controller signal:1444.20 | 
21:13:18.001 -> angle read:14.00 | controller signal:1444.20 | 
21:13:18.034 -> angle read:14.00 | controller signal:1433.30 | 
21:13:18.102 -> angle read:13.00 | controller signal:1433.30 | 
21:13:18.137 -> angle read:13.00 | controller signal:1447.50 | 
21:13:18.172 -> angle read:13.00 | controller signal:1447.50 | 
21:13:18.239 -> angle read:14.00 | controller signal:1436.60 | 
21:13:18.274 -> angle read:14.00 | controller signal:1436.60 | 
21:13:18.343 -> angle read:13.00 | controller signal:1450.80 | 
21:13:18.377 -> angle read:13.00 | controller signal:1450.80 | 
21:13:18.446 -> angle read:13.00 | controller signal:1450.80 | 
21:13:18.480 -> angle read:13.00 | controller signal:1453.00 | 
21:13:18.549 -> angle read:13.00 | controller signal:1453.00 | 
21:13:18.583 -> angle read:13.00 | controller signal:1453.00 | 
21:13:18.652 -> angle read:13.00 | controller signal:1455.20 | 
21:13:18.686 -> angle read:14.00 | controller signal:1455.20 | 
21:13:18.720 -> angle read:13.00 | controller signal:1457.40 | 
21:13:18.789 -> angle read:14.00 | controller signal:1457.40 | 
21:13:18.823 -> angle read:13.00 | controller signal:1459.60 | 
21:13:18.891 -> angle read:13.00 | controller signal:1459.60 | 
21:13:18.925 -> angle read:13.00 | controller signal:1461.80 | 
21:13:18.994 -> angle read:13.00 | controller signal:1461.80 | 
21:13:19.029 -> angle read:13.00 | controller signal:1461.80 | 
21:13:19.096 -> angle read:13.00 | controller signal:1464.00 | 
21:13:19.130 -> angle read:13.00 | controller signal:1464.00 | 
21:13:19.198 -> angle read:13.00 | controller signal:1464.00 | 
21:13:19.233 -> angle read:13.00 | controller signal:1466.20 | 
21:13:19.301 -> angle read:14.00 | controller signal:1466.20 | 
21:13:19.334 -> angle read:13.00 | controller signal:1468.40 | 
21:13:19.369 -> angle read:14.00 | controller signal:1468.40 | 
21:13:19.436 -> angle read:13.00 | controller signal:1470.60 | 
21:13:19.471 -> angle read:13.00 | controller signal:1470.60 | 
21:13:19.540 -> angle read:13.00 | controller signal:1472.80 | 
21:13:19.574 -> angle read:13.00 | controller signal:1472.80 | 
21:13:19.643 -> angle read:13.00 | controller signal:1472.80 | 
21:13:19.678 -> angle read:14.00 | controller signal:1461.90 | 
21:13:19.748 -> angle read:14.00 | controller signal:1461.90 | 
21:13:19.783 -> angle read:13.00 | controller signal:1461.90 | 
21:13:19.852 -> angle read:13.00 | controller signal:1476.10 | 
21:13:19.887 -> angle read:14.00 | controller signal:1476.10 | 
21:13:19.921 -> angle read:13.00 | controller signal:1478.30 | 
21:13:19.991 -> angle read:13.00 | controller signal:1478.30 | 
21:13:20.025 -> angle read:14.00 | controller signal:1478.30 | 
21:13:20.095 -> angle read:14.00 | controller signal:1467.40 | 
21:13:20.130 -> angle read:14.00 | controller signal:1467.40 | 
21:13:20.200 -> angle read:12.00 | controller signal:1467.40 | 
21:13:20.235 -> angle read:13.00 | controller signal:1481.60 | 
21:13:20.270 -> angle read:13.00 | controller signal:1481.60 | 
21:13:20.340 -> angle read:13.00 | controller signal:1483.80 | 
21:13:20.374 -> angle read:13.00 | controller signal:1483.80 | 
21:13:20.442 -> angle read:13.00 | controller signal:1483.80 | 
21:13:20.476 -> angle read:14.00 | controller signal:1472.90 | 
21:13:20.546 -> angle read:13.00 | controller signal:1472.90 | 
21:13:20.580 -> angle read:14.00 | controller signal:1474.00 | 
21:13:20.650 -> angle read:13.00 | controller signal:1474.00 | 
21:13:20.684 -> angle read:14.00 | controller signal:1475.10 | 
21:13:20.719 -> angle read:13.00 | controller signal:1475.10 | 
21:13:20.789 -> angle read:13.00 | controller signal:1475.10 | 
21:13:20.822 -> angle read:14.00 | controller signal:1476.20 | 
21:13:20.889 -> angle read:13.00 | controller signal:1476.20 | 
21:13:20.923 -> angle read:13.00 | controller signal:1490.40 | 
21:13:20.990 -> angle read:13.00 | controller signal:1490.40 | 
21:13:21.024 -> angle read:13.00 | controller signal:1490.40 | 
21:13:21.093 -> angle read:14.00 | controller signal:1479.50 | 
21:13:21.127 -> angle read:13.00 | controller signal:1479.50 | 
21:13:21.196 -> angle read:13.00 | controller signal:1493.70 | 
21:13:21.230 -> angle read:13.00 | controller signal:1493.70 | 
21:13:21.298 -> angle read:14.00 | controller signal:1482.80 | 
21:13:21.332 -> angle read:14.00 | controller signal:1482.80 | 
21:13:21.400 -> angle read:14.00 | controller signal:1482.80 | 
